journal,issue,year,author.s.lastnames,title,link,variable,variety,language,variation.type,social.significance,production,production.details,perception,perception.details,metalinguistic.behaviors,metalinguistic.behaviors.details,overt.prestige.or.stigma,overt.prestige.or.stigma.details,data.source,coder.notes
LVC,1(3),1989,"Bailey, Maynor, & Cukor-Avila",Variation in subject-verb concord in Early Modern English,https://doi.org/10.1017/S0954394500000193,"use of is in the plural (vs. are, invariant be, -0)",black folk speech and white folk speech,English,"form, omission",x,x,race (more -0 among black speakers),not analyzed,NA,not analyzed,NA,not mentioned,NA,sociolinguistic interviews,NA
LVC,2(1),1990,Mesthrie & Dunne,Syntactic variation in language shift: The relative clause in South African Indian English ,https://doi.org/10.1017/S0954394500000259,"relative clauses: standard RCs (postnominal, that/Ø/WH) vs. almost-standard RCs (postnominal, non-standard relative pronoun) vs. substrate-influenced RCs (prenominal) vs. discourse-governed RCs (with resumptive pronouns, topicalization, or missing prepositions)",South African Indian English,English,"form, omission, order",x,x,"Education: increase in years of education strongly associated with increasing use of standard RCs. Urban-rural networks: less standard forms of RCs in rural areas. Age: Among 30-60+ group, increase in age is associated with lower lects [and more nonstandard RC usage]; 0-39 group favors colloquial and in-group styles that draw upon the basilect [more nonstandard RC usage]. Ancestral language: ancestral language determines social characteristics of speakers related to whether they are acro-, meso-, or basilectal speakers. Gender not significant.",not analyzed,NA,not analyzed,NA,not mentioned,NA,sociolinguistic interviews,"Mention that ""there are […] many RCs in SAIE that are acquired via adequate access to standard models, mainly at school,"" but no mention of stigma/overt prestige of these variants"
LVC,2(2),1990,Clements,Deletion as an indicator of SVO -> SOV shift ,https://doi.org/10.1017/S0954394500000302,deletion of past marker ja,Korlai Creole Portuguese,Korlai Creole Portuguese,omission,x,x,"Age (change to more deletion in apparent time); narrative type (personal narratives feature more deletion than folktales); exposure to Portuguese (intense contact with Portuguese speakers favored less deletion). Factors considered but not found to condition variation: native/nonnative speaker, knowledge of being taped, sex, exposure to Marathi, exposure to English",not analyzed,NA,not analyzed,NA,not mentioned,NA,"texts (historical, written texts; stories; transcriptions from tapes of stories and monologues)",NA
LVC,2(2),1990,Clements,Deletion as an indicator of SVO -> SOV shift ,https://doi.org/10.1017/S0954394500000302,deletion of present perfect/continuous marker tE,Korlai Creole Portuguese,Korlai Creole Portuguese,omission,null,null,"Social factors considered but not found as conditioning the rate of deletion: native/nonnative speaker, knowledge of being taped, age, sex, exposure to Marathi, Portuguese, or English, narrative type",not analyzed,NA,not analyzed,NA,not mentioned,NA,"texts (historical, written texts; stories; transcriptions from tapes of stories and monologues)",NA
LVC,2(2),1990,Clements,Deletion as an indicator of SVO -> SOV shift ,https://doi.org/10.1017/S0954394500000302,deletion of goal/location prepositions,Korlai Creole Portuguese,Korlai Creole Portuguese,omission,x,x,"Exposure to Marathi (speakers with intense and sustained exposure to Marathi use higher rate of deletion). Factors considered but not found to condition deletion: native/nonnative speaker, knowledge of being taped, age, sex, exposure to Portuguese, exposure to English, narrative type",not analyzed,NA,not analyzed,NA,not mentioned,NA,"texts (historical, written texts; stories; transcriptions from tapes of stories and monologues)","Note on exposure to Marathi: Author discusses that this intense and prolonged exposure is because Marathi is the language of education, the language of the Catholic church in the region, and many from the region have to find jobs in the Marathi-speaking society. No discussion of metalinguistic behaviors, but a clear linguistic marketplace effect "
LVC,2(2),1990,Clements,Deletion as an indicator of SVO -> SOV shift ,https://doi.org/10.1017/S0954394500000302,adjective–noun order,Korlai Creole Portuguese,Korlai Creole Portuguese,order,not analyzed,not analyzed,NA,not analyzed,NA,not analyzed,NA,not mentioned,NA,"texts (historical, written texts; stories; transcriptions from tapes of stories and monologues)",NA
LVC,2(2),1990,Clements,Deletion as an indicator of SVO -> SOV shift ,https://doi.org/10.1017/S0954394500000302,adposition order (prep N vs. N su postp),Korlai Creole Portuguese,Korlai Creole Portuguese,"omission, order",x,x,Exposure to Marathi (speakers with intense and sustained exposure to Marathi use lower rate of obligatory prepositions).,not analyzed,NA,not analyzed,NA,not mentioned,NA,"texts (historical, written texts; stories; transcriptions from tapes of stories and monologues)","Note on exposure to Marathi: Author discusses that this intense and prolonged exposure is because Marathi is the language of education, the language of the Catholic church in the region, and many from the region have to find jobs in the Marathi-speaking society. No discussion of metalinguistic behaviors, but a clear linguistic marketplace effect "
LVC,2(2),1990,Clements,Deletion as an indicator of SVO -> SOV shift ,https://doi.org/10.1017/S0954394500000302,object/complement–verb order,Korlai Creole Portuguese,Korlai Creole Portuguese,order,x,x,Exposure to Marathi (speakers with intense and sustained exposure to Marathi use higher rate of XV order).,not analyzed,NA,not analyzed,NA,not mentioned,NA,"texts (historical, written texts; stories; transcriptions from tapes of stories and monologues)","Note on exposure to Marathi: Author discusses that this intense and prolonged exposure is because Marathi is the language of education, the language of the Catholic church in the region, and many from the region have to find jobs in the Marathi-speaking society. No discussion of metalinguistic behaviors, but a clear linguistic marketplace effect "
LVC,2(3),1990,Sankoff,The grammaticalization of tense and aspect in Tok Pisin and Sranan ,https://doi.org/10.1017/S0954394500000387,marking on verbs with past time reference,Tok Pisin,Tok Pisin,"form, omission",not analyzed,not analyzed,NA,not analyzed,NA,not analyzed,NA,not mentioned,NA,narrative texts,NA
LVC,2(3),1990,Sankoff,The grammaticalization of tense and aspect in Tok Pisin and Sranan ,https://doi.org/10.1017/S0954394500000387,marking on verbs with past time reference,Sranan,Sranan,omission,not analyzed,not analyzed,NA,not analyzed,NA,not analyzed,NA,not mentioned,NA,folktales,NA
LVC,3(1),1991,Scherre & Naro,"Marking in discourse: ""Birds of a feather""",https://doi.org/10.1017/S0954394500000430,subject/verb agreement,Brazilian Portuguese,Portuguese,omission,x,x,"Footnote 1 reports that level of education, sex, and age were selected by Varbrul as significant, although no reference values are given in the paper. ",not analyzed,NA,not analyzed,NA,not mentioned,NA,64 speakers from Rio de Janeiro (Censo da Variacao Linguistica research project),NA
LVC,3(1),1991,Scherre & Naro,"Marking in discourse: ""Birds of a feather""",https://doi.org/10.1017/S0954394500000430,subject/predicate adjective agreement,Brazilian Portuguese,Portuguese,omission,x,x,"Footnote 8 reports that level of education, sex, and age were selected by Varbrul as significant, although no reference values are given in the paper. ",not analyzed,NA,not analyzed,NA,not mentioned,NA,64 speakers from Rio de Janeiro (Censo da Variacao Linguistica research project),NA
LVC,3(1),1991,"Rickford, Ball, Blake, Jackson, & Martin",Rappin on the copula coffin: Theoretical and methodological issues in the analysis of copula variation in AAVE,https://doi.org/10.1017/S0954394500000466,"copula variation: full, contracted and zero forms of inflected copula and auxiliary be",African American Vernacular English,English,"form, omission",x,x,"Age: youngest speakers favor deletion the most, oldest speakers disfavor deletion, and middle age group is intermediate. Unclear whether this finding is due to age-grading or is a change in progress",not analyzed,NA,not analyzed,NA,not mentioned,NA,sociolinguistic interviews,NA
LVC,3(2),1991,Ranson,Person marking in the wake of /s/ deletion in Andalusian Spanish,https://doi.org/10.1017/S0954394500000491,subject pronoun presence/absence,Andalusian Spanish,Spanish,omission,not analyzed,not analyzed,NA,not analyzed,NA,not analyzed,NA,not mentioned,NA,conversations,the dependent variable here is subject expression. /s/ is practically invariantly deleted (and is not examined as a DV); the independent variables are whether the verb is marked (invariably) for person and whether person information is provided in the discourse context.
LVC,3(2),1991,Patrick,"Creoles at the intersection of variable processes: -t, d deletion and past-marking in the Jamaican mesolect",https://doi.org/10.1017/S095439450000051X,past marking,mesolectal Jamaican Creole,Jamaican Creole,omission,not analyzed,not analyzed,NA,not analyzed,NA,not analyzed,NA,not mentioned,NA,sociolinguistic interviews,NA
LVC,3(2),1991,Thibault,Semantic overlaps of French modal expressions,https://doi.org/10.1017/S0954394500000521,expression of necessity modals: devoir vs falloir,Montreal French,French,form,x,x,"Sex: men use devoir more than women. Socio-professional class: people with higher status jobs favor devoir. Age: in 1971 data set only, older people favored devoir over younger ones, with the middle-aged group favoring devoir the least. In 1984 data set only, middle-aged group favored devoir the most. No evidence of a change in progress.",not analyzed,NA,not analyzed,NA,null,"""no normative judgment is explicitly made in grammars with regard to the degree of appropriateness of devoir as opposed to falloir""",informal interviews,"paper also includes other variables, but they do not represent variable forms for a single grammatical function: devoir vs. probablement, devoir vs. être supposé/censé"
LVC,3(3),1991,Mollica,Processing and mopho-semantic effects in complementation in Brazilian Portuguese,https://doi.org/10.1017/S0954394500000570,complementizer que/de que,Brazilian Portuguese,Portuguese,omission,not analyzed,not analyzed,NA,not analyzed,NA,not analyzed,NA,x,"""In general, queismo is more widespread than dequeismo and is explicitly discussed in modern normative grammars""",interviews,NA
LVC,3(3),1991,"Dupuis, Lemieux, & Gosselin",Consequences de la sous-specification des traits de Agr dans l'identification de Pro,https://doi.org/10.1017/S0954394500000582,Pro-drop (distribution of pronominal and null subject Pro),Middle French,French,omission,not analyzed,not analyzed,NA,not analyzed,NA,not analyzed,NA,not mentioned,NA,texts,NA
LVC,3(3),1991,Poplack & Tagliamonte,African American English in the diaspora: Evidence from old-line Nova Scotians ,https://doi.org/10.1017/S0954394500000594,copula (full vs. contracted vs. deleted),African Nova Scotia English,English,"form, omission",not analyzed,not analyzed,NA,not analyzed,NA,not analyzed,NA,not mentioned,NA,naturalistic conversations,NA
LVC,3(3),1991,Poplack & Tagliamonte,African American English in the diaspora: Evidence from old-line Nova Scotians ,https://doi.org/10.1017/S0954394500000594,"past time expression (suffix deletion from weak verbs, and verb-base, or nonmarking, in strong verbs)",African Nova Scotia English,English,omission,not analyzed,not analyzed,NA,not analyzed,NA,not analyzed,NA,not mentioned,NA,naturalistic conversations,NA
LVC,3(3),1991,Poplack & Tagliamonte,African American English in the diaspora: Evidence from old-line Nova Scotians ,https://doi.org/10.1017/S0954394500000594,verbal -s marking,African Nova Scotia English,English,omission,not analyzed,not analyzed,NA,not analyzed,NA,not analyzed,NA,not mentioned,NA,naturalistic conversations,NA
LVC,4(1),1992,Scherre & Naro,The serial effect on internal and external variables,https://doi.org/10.1017/S0954394500000636,noun phrase concord,Rio de Janeiro Portuguese,Portuguese,omission,x,x,"Sex: Female speakers tend toward more standard variants. Education: For isolated/ first in a series tokens, lack of overt agreement correlates with lower education level. Education effect not significant in total tokens or for serial tokens. Age: Footnote 10 notes that Age was chosen as a significant factor in the VARBRUL analysis of all three runs (total tokens, isolated/first of a series tokens, and serial tokens), but no details are given in the text of the article. ",not analyzed,NA,not analyzed,NA,x,"Zero/lack of concord variants ""highly stigmatized and are considered incorrect by normative grammarians""",interviews,"variable never exemplified -- ""omission"" is a guess"
LVC,4(1),1992,Scherre & Naro,The serial effect on internal and external variables,https://doi.org/10.1017/S0954394500000636,subject/predicate adjective concord,Rio de Janeiro Portuguese,Portuguese,omission,x,x,"Sex: Female speakers tend toward more standard variants. Education: For isolated/ first in a series tokens, lack of overt agreement correlates with lower education level. Education effect not significant in total tokens or for serial tokens. Age: Footnote 13 notes that Age was chosen as a significant factor in the VARBRUL analysis of all three runs (total tokens, isolated/first of a series tokens, and serial tokens), but no details are given in the text of the article. ",not analyzed,NA,not analyzed,NA,x,"Zero/lack of concord variants ""highly stigmatized and are considered incorrect by normative grammarians""",interviews,"variable never exemplified -- ""omission"" is a guess"
LVC,4(1),1992,Scherre & Naro,The serial effect on internal and external variables,https://doi.org/10.1017/S0954394500000636,subject/verb concord,Rio de Janeiro Portuguese,Portuguese,omission,x,x,"Sex: Female speakers tend toward more standard variants. Age: Footnote 15 notes that Age was chosen as a significant factor in the VARBRUL analysis of all three runs (total tokens, isolated/first of a series tokens, and serial tokens), but no details are given in the text of the article. Education level not selected by VARBRUL model in either serial token set or isolated/first in a series token set.  ",not analyzed,NA,not analyzed,NA,x,"Zero/lack of concord variants ""highly stigmatized and are considered incorrect by normative grammarians""",interviews,"variable never exemplified -- ""omission"" is a guess"
LVC,4(1),1992,Gerritsen,Deflection in Flemish between the 13th and 20th centuries: An interplay between analogical and articulatory factors,https://doi.org/10.1017/S0954394500000648,loss of the dative ending -e in infinitives (gerunds),West Flemish dialect of Bruges,Flemish,omission,not analyzed,not analyzed,NA,not analyzed,NA,not analyzed,NA,not mentioned,NA,nonliterary prose texts,NA
LVC,4(3),1992,Winford,Back to the past: The BEV/creole connection revisited,https://doi.org/10.1017/S0954394500000831,past tense marking (Ø vs. {ed}),Trinidadian English,English,omission,x,x,"social class, style",not analyzed,NA,not analyzed,NA,not mentioned,NA,sociolinguistic interviews,"some of the past tense forms studied involve TD, but not exclusively a TD paper"
LVC,4(3),1992,Myhill,Verb position in future clauses in Biblical Hebrew ,https://doi.org/10.1017/S095439450000082X,verb position in clauses with future meaning: verb-initial vs. non-verb-initial,Biblical Hebrew,Hebrew,order,not analyzed,not analyzed,NA,not analyzed,NA,not analyzed,NA,not mentioned,NA,text,NA
LVC,5(1),1993,Ashby & Bentivoglio,Preferred argument structure in spoken French and Spanish ,https://doi.org/10.1017/S095439450000140X,arguments of verbs: full lexical NPs vs pronouns,Tours French,French,form,not analyzed,not analyzed,NA,not analyzed,NA,not analyzed,NA,not mentioned,NA,interviews,NA
LVC,5(1),1993,Ashby & Bentivoglio,Preferred argument structure in spoken French and Spanish ,https://doi.org/10.1017/S095439450000140X,arguments of verbs: full lexical NPs vs pronouns,Caracas Spanish,Spanish,form,not analyzed,not analyzed,NA,not analyzed,NA,not analyzed,NA,not mentioned,NA,interviews,NA
LVC,5(1),1993,Silva,Subject omission and functional compensation: Evidence from written Brazilian Portuguese,https://doi.org/10.1017/S0954394500001381,subject omission,Brazilian Portuguese,Portuguese,omission,x,x,age effect in one lx environment (fn. 7); no effects in others. No discussion of effect,not analyzed,NA,not analyzed,NA,not mentioned,NA,letters,NA
LVC,5(1),1993,Matsuda,Dissecting analogical leveling quantitatively: The case of the innovative potential suffix in Tokyo Japanese,https://doi.org/10.1017/S095439450000137X,potential suffix (-rare vs. -re),Tokyo Japanese,Japanese,form,x,x,"age (younger are leading leveling), sex (females lead), weak effect of area within Tokyo (a proxy for class/prestige of variety)",not analyzed,NA,not analyzed,NA,not mentioned,NA,sociolinguistic interviews,NA
LVC,5(2),1993,Winford,Variability in the use of perfect have in Trinidadian English: A problem of categorial and semantic mismatch,https://doi.org/10.1017/S0954394500001459,expression of the perfect: have vs. progressive V-in vs. Ø copula vs. Ø-marked verbs vs. completive done,Trinidadian English,English,"form, omission",x,x,"social class correlates w/use of perfect 'have' in a way that reflects ""varying degrees of influence from vernacular norms among the social groups"" (creole situation w/speakers having more/less access to the standard)",not analyzed,NA,not analyzed,NA,not mentioned,NA,sociolinguistic interviews,NA
LVC,5(2),1993,Escure,Anaphoric reference in creoles and noncreoles,https://doi.org/10.1017/S0954394500001484,"topic reference (nominal copies, pronominal anaphora, nominal/verbal paraphrases)",Belizean English,English,form,x,x,creole continuum level,not analyzed,NA,not analyzed,NA,x,"""the syntactic strategies of the superstrate (English) are often borrowed in the lects acquired as a second dialect, probably because of the stigmatization associated with redundancy in formal styles""; ""prescriptive English grammar impose[s] requirements of conciseness and brevity""",conversations,NA
LVC,5(2),1993,Escure,Anaphoric reference in creoles and noncreoles,https://doi.org/10.1017/S0954394500001484,"topic reference (nominal copies, pronominal anaphora, nominal/verbal paraphrases)",American English,English,form,x,x,register,not analyzed,NA,not analyzed,NA,x,"""the syntactic strategies of the superstrate (English) are often borrowed in the lects acquired as a second dialect, probably because of the stigmatization associated with redundancy in formal styles""; ""prescriptive English grammar impose[s] requirements of conciseness and brevity""","conversations in university contexts, newspaper/magazine articles",NA
LVC,5(2),1993,Kyto,Third-person present singular verb inflection in early British and American English ,https://doi.org/10.1017/S0954394500001447,3rd person indicative present singular verb inflection (-th vs. -s vs. Ø),Early Modern British English,English,"form, omission",x,x,"text type, level of formality, sex",not analyzed,NA,not analyzed,NA,x,"describes -th as ""prestige form""",texts,NA
LVC,5(2),1993,Kyto,Third-person present singular verb inflection in early British and American English ,https://doi.org/10.1017/S0954394500001447,3rd person indicative present singular verb inflection (-th vs. -s vs. Ø),Early American English,English,"form, omission",null,null,"no effect of level of formality, text type, or sex",not analyzed,NA,not analyzed,NA,x,"describes -th as ""prestige form""",texts,NA
LVC,5(3),1993,"Bailey, Wikle, Tillery, & Sand",Some patterns of linguistic diffusion,https://doi.org/10.1017/S095439450000154X,spread of fixin to as a quasi-modal,Oklahoma English ,English,form,x,x,"Age: younger speakers use more (apparent time change in progress). Geography: spread from rural to urban areas. Length of residence: used more by long-term than short-term residents of the state. Education: College education is a barrier to diffusion of fixin to. SES: An income above $60,000 is a barrier to diffusion of fixin to. Ethnicity: Being Anglo is a barrier to diffusion of fixin to. ",not analyzed,NA,not analyzed,NA,not mentioned,NA,tape-recorded random-sample telephone survey and field survey,"Also investigated got to/went to inceptives, might could, positive anymore, and yall as grammatical features, but did not discuss these further in this article, as they did not seem to be changes in progress"
LVC,5(3),1993,"Montgomery, Fuller, & DeMarse","""The black men has wives and Sweet harts [and third person plural -s] Jest like the white men"": Evidence for verbal -s from written documents on 19th century African American speech",https://doi.org/10.1017/S0954394500001538,third person plural verbal -s marking,19th century African American English,English,omission,not analyzed,not analyzed,NA,not analyzed,NA,not analyzed,NA,x,"fn. 1: ""within the black speech community zero was the innovative, prestigious and quantitatively  increasing form""",letters,NA
LVC,5(3),1993,Cameron,"Ambiguous agreement, functional compensation, and nonspecific tú in the Spanish of San Juan, Puerto Rico, and Madrid, Spain",https://doi.org/10.1017/S0954394500001526,expression of second person singular tú,Madrid Spanish,Spanish,omission,not analyzed,not analyzed,NA,not analyzed,NA,not analyzed,NA,not mentioned,NA,interviews,NA
LVC,5(3),1993,Cameron,"Ambiguous agreement, functional compensation, and nonspecific tú in the Spanish of San Juan, Puerto Rico, and Madrid, Spain",https://doi.org/10.1017/S0954394500001526,expression of second person singular tú,"San Juan, PR Spanish",Spanish,omission,not analyzed,not analyzed,NA,not analyzed,NA,not analyzed,NA,not mentioned,NA,interviews,NA
LVC,5(3),1993,Santorini,The rate of phrase structure change in the history of Yiddish,https://doi.org/10.1017/S0954394500001502,INFL-final vs. INFL-medial phrase structure,Yiddish,Yiddish,order,not analyzed,not analyzed,NA,not analyzed,NA,not analyzed,NA,not mentioned,NA,texts,NA
LVC,6(1),1994,Meechan & Foley,On resolving disagreement: Linguistic theory and variation – There's bridges,https://doi.org/10.1017/S0954394500001587,subject-verb concord in existentials,Canadian English,English,form,x,x,"location (rural vs. urban), level of education",not analyzed,NA,not analyzed,NA,not mentioned,NA,interviews,NA
LVC,6(1),1994,Taylor,The change from SOV to SVO in Ancient Greek ,https://doi.org/10.1017/S0954394500001563,SOV vs. SVO,Ancient Greek ,Greek,order,not analyzed,not analyzed,NA,not analyzed,NA,not analyzed,NA,not mentioned,NA,written works,NA
LVC,6(2),1994,Ball,Relative pronouns in it-clefts: The last seven centuries,https://doi.org/10.1017/S0954394500001630,relative pronouns in it-clefts (that vs. WH vs. Ø vs. pied-piping),British English,English,"form, omission, order",not analyzed,not analyzed,NA,not analyzed,NA,not analyzed,NA,not mentioned,NA,speech and writing,NA
LVC,6(2),1994,Ball,Relative pronouns in it-clefts: The last seven centuries,https://doi.org/10.1017/S0954394500001630,relative pronouns in it-clefts (that vs. WH vs. Ø vs. pied-piping),"Middle, Early Modern, and Present-Day English",English,"form, omission, order",not analyzed,not analyzed,NA,not analyzed,NA,not analyzed,NA,not mentioned,NA,written prose,NA
LVC,6(2),1994,Ball,Relative pronouns in it-clefts: The last seven centuries,https://doi.org/10.1017/S0954394500001630,relative pronouns in restrictive relative clauses (that vs. WH vs. Ø),"Middle, Early Modern, and Present-Day English",English,"form, omission",not analyzed,not analyzed,NA,not analyzed,NA,not analyzed,NA,not mentioned,NA,written prose,NA
LVC,6(2),1994,Hirschbuhler & Labelle,Changes in verb position in French negative infinitival clauses ,https://doi.org/10.1017/S0954394500001629,"verb position in negative infinitival clauses (ne V pas vs. ne pas V), lexical verbs",French,French,order,not analyzed,not analyzed,NA,not analyzed,NA,not analyzed,NA,not mentioned,NA,historical corpus,NA
LVC,6(2),1994,Hirschbuhler & Labelle,Changes in verb position in French negative infinitival clauses ,https://doi.org/10.1017/S0954394500001629,"verb position in negative infinitival clauses (ne V pas vs. ne pas V), modals and auxiliaries",French,French,order,not analyzed,not analyzed,NA,not analyzed,NA,not analyzed,NA,not mentioned,NA,historical corpus,NA
LVC,6(2),1994,Wetzel,Contemporary Japanese attitudes toward honorifics (keigo),https://doi.org/10.1017/S0954394500001617,honorific usage,Japanese,Japanese,"form, omission",x,not analyzed,NA,x,"use of honorifics (compared to non-use) judged more intelligent, more educated, more capable, more polite, more positive, and more affable; but correct honorifics not judged socially different than incorrect ones",x,"""When asked about their own awareness or consciousness of keigo (ishiki), virtually all those interviewed had vivid recollections of how they had come to ""learn"" how to use keigo. Many voiced a wish that they could use keigo more skillfully; many thought that keigo was changing, and some found this regrettable. In short, Japanese speakers are not naive or uninformed about the language under investigation. The how-to manuals on keigo mentioned earlier are only one indication of keigo's importance in the Japanese cultural framework. Japanese people come to realize early in their lives that to not use or to misuse keigo has serious repercussions.""",not mentioned,NA,matched guise experiment,NA
LVC,6(3),1994,Weldon,Variability in negation in African American Vernacular English,https://doi.org/10.1017/S0954394500001721,negative copula constructions (full vs. contracted vs. Ø vs. ain't),African American Vernacular English,English,"form, omission",not analyzed,not analyzed,NA,not analyzed,NA,not analyzed,NA,not mentioned,NA,conversations,NA
LVC,6(3),1994,Weldon,Variability in negation in African American Vernacular English,https://doi.org/10.1017/S0954394500001721,negative present (third person singular don't vs. doesn't),African American Vernacular English,English,form,not analyzed,not analyzed,NA,not analyzed,NA,not analyzed,NA,not mentioned,NA,conversations,NA
LVC,6(3),1994,Weldon,Variability in negation in African American Vernacular English,https://doi.org/10.1017/S0954394500001721,ain't vs. don't before gotta,African American Vernacular English,English,form,not analyzed,not analyzed,NA,not analyzed,NA,not analyzed,NA,not mentioned,NA,conversations,NA
LVC,6(3),1994,Weldon,Variability in negation in African American Vernacular English,https://doi.org/10.1017/S0954394500001721,negative perfect (ain't vs. haven't vs. hasn't),African American Vernacular English,English,form,not analyzed,not analyzed,NA,not analyzed,NA,not analyzed,NA,not mentioned,NA,conversations,NA
LVC,6(3),1994,Weldon,Variability in negation in African American Vernacular English,https://doi.org/10.1017/S0954394500001721,negative past (ain't vs. didn't),African American Vernacular English,English,form,not analyzed,not analyzed,NA,not analyzed,NA,not analyzed,NA,not mentioned,NA,conversations,NA
LVC,6(3),1994,Schilling-Estes & Wolfram,Convergent explanation and alternative regularization patterns: Were/weren't leveling in a vernacular English variety,https://doi.org/10.1017/S0954394500001691,were/weren't leveling,"Outer Banks, NC English",English,form,x,x,"sex, age, island identity -- males use more weren't-leveling than females; age effects on weren't-leveling reflecting remorphologization; weren't-leveling as a reflector of island identity: ""nonstandard was is a generalized vernacular structure with no particular local social interpretation, whereas nonstandard were has acquired symbolic significance as a marker of island identity."" Non-standard weren't used in formal contexts, by more standard speakers, in writing, in in-group use",not analyzed,NA,x,used in written renditions of the dialect,null,"""we argue that nonstandard were has been assigned a special sociolinguistic role that sets it apart from the classic dichotomy in which a leveled nonstandard English form is socially stigmatized vis-a-vis its nonleveled standard counterpart.""",sociolinguistic interviews,Table 4 and accompanying text are unclear on whether VARBRUL results represent negative contexts only or neg + aff contexts together
LVC,6(3),1994,Schilling-Estes & Wolfram,Convergent explanation and alternative regularization patterns: Were/weren't leveling in a vernacular English variety,https://doi.org/10.1017/S0954394500001691,was/wasn't leveling,"Outer Banks, NC English",English,form,x,x,age,not analyzed,NA,not analyzed,NA,x,"""Several different kinds of evidence suggest that weren't leveling is notnearly as socially stigmatized as was leveling""",sociolinguistic interviews,Table 4 and accompanying text are unclear on whether VARBRUL results represent negative contexts only or neg + aff contexts together
LVC,6(3),1994,Silva-Corvalan,The gradual loss of mood distinctions in Los Angeles Spanish,https://doi.org/10.1017/S095439450000168X,loss of subjunctive mood morphology,Los Angeles Spanish,Spanish,form,x,x,immigrant group (born in Mexico vs. born in LA with parents from Mexico vs. born in LA with parent[s] from LA),not analyzed,NA,not analyzed,NA,not mentioned,NA,social conversations,NA
